Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Team
Anthony Edwards,SG,6-4,225,"August 5, 2001",us,2,Georgia,MIN
Bryn Forbes,SG,6-2,205,"July 23, 1993",us,6,Michigan State,MIN
Luka Garza,C,6-10,235,"December 27, 1998",us,1,Iowa,MIN
Rudy Gobert,C,7-1,258,"June 26, 1992",fr,9,,MIN
Nathan Knight,C,6-8,253,"September 20, 1997",us,2,William & Mary,MIN
A.J. Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,MIN
Jaden McDaniels,SF,6-9,185,"September 29, 2000",us,2,Washington,MIN
Jordan McLaughlin,PG,6-0,185,"April 9, 1996",us,3,USC,MIN
Josh Minott,SF,6-8,205,"November 25, 2002",us,R,Memphis,MIN
Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us,R,Duke,MIN
Jaylen Nowell,SG,6-4,201,"July 9, 1999",us,3,Washington,MIN
Taurean Prince,PF,6-6,218,"March 22, 1994",us,6,Baylor,MIN
Naz Reid,C,6-9,264,"August 26, 1999",us,3,LSU,MIN
Austin Rivers,SG,6-4,200,"August 1, 1992",us,10,Duke,MIN
D'Angelo Russell,PG,6-3,193,"February 23, 1996",us,7,Ohio State,MIN
Matt Ryan,SF,6-6,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga",MIN
Karl-Anthony Towns,PF,7-0,248,"November 15, 1995",us,7,Kentucky,MIN
Jose Alvarado,PG,6-0,179,"April 12, 1998",us,1,Georgia Tech,NOP
Dyson Daniels,PG,6-8,199,"March 17, 2003",au,R,,NOP
Devonte' Graham,PG,6-1,195,"February 22, 1995",us,4,Kansas,NOP
Jaxson Hayes,C,7-0,220,"May 23, 2000",us,3,Texas,NOP
Willy Hernangómez,C,6-11,250,"May 27, 1994",es,6,,NOP
Brandon Ingram,SF,6-8,190,"September 2, 1997",us,6,Duke,NOP
Herbert Jones,PF,6-8,210,"October 6, 1998",us,1,Alabama,NOP
Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,2,Alabama,NOP
Naji Marshall,SF,6-7,220,"January 24, 1998",us,2,Xavier,NOP
CJ McCollum,PG,6-3,190,"September 19, 1991",us,9,Lehigh,NOP
Trey Murphy III,SF,6-8,206,"June 18, 2000",us,1,"Rice University, Virginia",NOP
Larry Nance Jr.,C,6-8,245,"January 1, 1993",us,7,Wyoming,NOP
Josh Richardson,SG,6-5,200,"September 15, 1993",us,7,Tennessee,NOP
Dereon Seabron,SG,6-7,180,"May 26, 2000",us,R,NC State,NOP
Garrett Temple,SG,6-5,195,"May 8, 1986",us,12,LSU,NOP
Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,10,,NOP
Zion Williamson,PF,6-6,284,"July 6, 2000",us,2,Duke,NOP
Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,5,Villanova,NYK
RJ Barrett,SG,6-6,214,"June 14, 2000",ca,3,Duke,NYK
Jalen Brunson,PG,6-2,190,"August 31, 1996",us,4,Villanova,NYK
Evan Fournier,SG,6-6,205,"October 29, 1992",fr,10,,NYK
Quentin Grimes,SG,6-5,205,"May 8, 2000",us,1,"Kansas, Houston",NYK
Josh Hart,SF,6-4,215,"March 6, 1995",us,5,Villanova,NYK
Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,4,,NYK
DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us,3,"Oral Roberts, Tulsa",NYK
Trevor Keels,SG,6-5,221,"August 26, 2003",us,R,Duke,NYK
Miles McBride,PG,6-2,200,"September 8, 2000",us,1,West Virginia,NYK
Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,4,Kansas,NYK
Immanuel Quickley,SG,6-3,190,"June 17, 1999",us,2,Kentucky,NYK
Julius Randle,PF,6-8,250,"November 29, 1994",us,8,Kentucky,NYK
Cam Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke,NYK
Mitchell Robinson,C,7-0,240,"April 1, 1998",us,4,Western Kentucky,NYK
Derrick Rose,PG,6-3,200,"October 4, 1988",us,13,Memphis,NYK
Jericho Sims,C,6-10,245,"October 20, 1998",us,1,Texas,NYK
Obi Toppin,PF,6-9,220,"March 4, 1998",us,2,Dayton,NYK
Darius Bazley,C,6-8,208,"June 12, 2000",us,3,,OKC
Jared Butler,PG,6-3,195,"August 25, 2000",us,1,Baylor,OKC
Ousmane Dieng,PF,6-10,216,"May 21, 2003",fr,R,,OKC
Luguentz Dort,SF,6-3,215,"April 19, 1999",ca,3,Arizona State,OKC
Josh Giddey,PF,6-8,210,"October 10, 2002",au,1,,OKC
Shai Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca,4,Kentucky,OKC
Isaiah Joe,SG,6-4,165,"July 2, 1999",us,2,Arkansas,OKC
Tre Mann,PG,6-3,178,"February 3, 2001",us,1,Florida,OKC
Mike Muscala,C,6-10,240,"July 1, 1991",us,9,Bucknell,OKC
Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",OKC
Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs,2,,OKC
Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us,1,Villanova,OKC
Dario Šarić,C,6-10,225,"April 8, 1994",hr,5,,OKC
Olivier Sarr,C,7-0,237,"February 20, 1999",fr,1,"Wake Forest, Kentucky",OKC
Lindy Waters III,SG,6-6,215,"July 28, 1997",us,1,Oklahoma State,OKC
Aaron Wiggins,SG,6-6,200,"January 2, 1999",us,1,Maryland,OKC
Jalen Williams,SG,6-5,195,"April 14, 2001",us,R,Santa Clara,OKC
Jaylin Williams,C,6-9,240,"June 29, 2002",us,R,Arkansas,OKC
Kenrich Williams,PF,6-6,210,"December 2, 1994",us,4,TCU,OKC
Cole Anthony,PG,6-2,185,"May 15, 2000",us,2,UNC,ORL
Mo Bamba,C,7-0,231,"May 12, 1998",us,4,Texas,ORL
Paolo Banchero,PF,6-10,250,"November 12, 2002",us,R,Duke,ORL
Goga Bitadze,C,6-11,250,"July 20, 1999",ge,3,,ORL
Bol Bol,PF,7-3,220,"November 16, 1999",sd,3,Oregon,ORL
Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,4,Duke,ORL
Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us,8,Syracuse,ORL
Markelle Fultz,PG,6-4,209,"May 29, 1998",us,5,Washington,ORL
R.J. Hampton,SG,6-4,175,"February 7, 2001",us,2,,ORL
Gary Harris,SG,6-4,210,"September 14, 1994",us,8,Michigan State,ORL
Kevon Harris,SG,6-5,216,"June 24, 1997",us,R,Stephen F. Austin,ORL
Caleb Houstan,SF,6-8,205,"January 9, 2003",ca,R,Michigan,ORL
Jonathan Isaac,PF,6-10,230,"October 3, 1997",us,3,Florida State,ORL
Chuma Okeke,SF,6-6,229,"August 18, 1998",us,2,Auburn,ORL
Terrence Ross,SG,6-6,206,"February 5, 1991",us,10,Washington,ORL
Admiral Schofield,PF,6-5,241,"March 30, 1997",gb,2,Tennessee,ORL
Jay Scrubb,SG,6-5,220,"September 1, 2000",us,2,John A. Logan College,ORL
Jalen Suggs,SG,6-5,205,"June 3, 2001",us,1,Gonzaga,ORL
Franz Wagner,SF,6-10,225,"August 27, 2001",de,1,Michigan,ORL
Moritz Wagner,C,6-11,245,"April 26, 1997",de,4,Michigan,ORL
Julian Champagnie,SF,6-8,220,"June 29, 2001",us,R,St. John's,PHI
Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,9,USC,PHI
Joel Embiid,C,7-0,280,"March 16, 1994",cm,6,Kansas,PHI
Michael Foster Jr.,PF,6-8,250,"January 16, 2003",us,R,,PHI
James Harden,PG,6-5,220,"August 26, 1989",us,13,Arizona State,PHI
Montrezl Harrell,C,6-7,240,"January 26, 1994",us,7,Louisville,PHI
Tobias Harris,SF,6-8,226,"July 15, 1992",us,11,Tennessee,PHI
Danuel House Jr.,SF,6-6,220,"June 7, 1993",us,6,Texas A&M,PHI
Louis King,PF,6-7,205,"April 6, 1999",us,3,Oregon,PHI
Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr,5,,PHI
Saben Lee,PG,6-2,183,"June 23, 1999",us,2,Vanderbilt,PHI
Tyrese Maxey,SG,6-2,200,"November 4, 2000",us,2,Kentucky,PHI
Mac McClung,SG,6-2,185,"January 6, 1999",us,1,"Georgetown, Texas Tech",PHI
Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,3,San Diego State,PHI
De'Anthony Melton,SG,6-2,200,"May 28, 1998",us,4,USC,PHI
Shake Milton,SG,6-5,205,"September 26, 1996",us,4,SMU,PHI
Georges Niang,PF,6-7,230,"June 17, 1993",us,6,Iowa State,PHI
Paul Reed,C,6-9,210,"June 14, 1999",us,2,DePaul,PHI
Jaden Springer,SG,6-4,204,"September 25, 2002",us,1,Tennessee,PHI
Matisse Thybulle,SF,6-5,201,"March 4, 1997",us,3,Washington,PHI
P.J. Tucker,PF,6-5,245,"May 5, 1985",us,11,Texas,PHI
Deandre Ayton,C,7-0,250,"July 23, 1998",bs,4,Arizona,PHO
Darius Bazley,C,6-8,208,"June 12, 2000",us,3,,PHO
Bismack Biyombo,C,6-8,255,"August 28, 1992",cd,11,,PHO
Devin Booker,SG,6-6,206,"October 30, 1996",us,7,Kentucky,PHO
Mikal Bridges,SF,6-6,209,"August 30, 1996",us,4,Villanova,PHO
Torrey Craig,PF,6-7,221,"December 19, 1990",us,5,USC Upstate,PHO
Kevin Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,PHO
Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC",PHO
Jock Landale,C,6-11,256,"October 25, 1995",au,1,Saint Mary's,PHO
Damion Lee,SG,6-5,210,"October 21, 1992",us,5,"Drexel, Louisville",PHO
Saben Lee,PG,6-2,183,"June 23, 1999",us,2,Vanderbilt,PHO
Josh Okogie,SG,6-4,213,"September 1, 1998",ng,4,Georgia Tech,PHO
Chris Paul,PG,6-0,175,"May 6, 1985",us,17,Wake Forest,PHO
Cameron Payne,PG,6-3,183,"August 8, 1994",us,7,Murray State,PHO
Terrence Ross,SG,6-6,206,"February 5, 1991",us,10,Washington,PHO
Dario Šarić,PF,6-10,225,"April 8, 1994",hr,5,,PHO
Landry Shamet,SG,6-4,190,"March 13, 1997",us,4,Wichita State,PHO
Ish Wainright,SF,6-6,250,"September 12, 1994",us,1,Baylor,PHO
T.J. Warren,SF,6-8,220,"September 5, 1993",us,7,NC State,PHO
Duane Washington Jr.,SG,6-3,210,"March 24, 2000",de,1,Ohio State,PHO
Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,5,Villanova,POR
Greg Brown III,PF,6-7,205,"September 1, 2001",us,1,Texas,POR
John Butler,C,7-0,175,"December 4, 2002",us,R,Florida State,POR
Chance Comanche,C,6-10,210,"April 14, 1996",us,R,Arizona,POR
Drew Eubanks,C,6-9,245,"February 1, 1997",us,4,Oregon State,POR
Jerami Grant,PF,6-7,210,"March 12, 1994",us,8,Syracuse,POR
Shaquille Harrison,SG,6-4,190,"October 6, 1993",us,5,Tulsa,POR
Josh Hart,SF,6-4,215,"March 6, 1995",us,5,Villanova,POR
Keon Johnson,SG,6-5,186,"March 10, 2002",us,1,Tennessee,POR
Kevin Knox,PF,6-7,215,"August 11, 1999",us,4,Kentucky,POR
Damian Lillard,PG,6-2,195,"July 15, 1990",us,10,Weber State,POR
Nassir Little,SF,6-5,220,"February 11, 2000",us,3,UNC,POR
Skylar Mays,PG,6-4,205,"September 5, 1997",us,2,LSU,POR
Justin Minaya,SF,6-5,210,"March 26, 1999",us,R,,POR
Jusuf Nurkić,C,7-0,290,"August 23, 1994",ba,8,,POR
Gary Payton II,SG,6-2,190,"December 1, 1992",us,6,Oregon State,POR
Cam Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke,POR
Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca,R,Kentucky,POR
Anfernee Simons,SG,6-3,181,"June 8, 1999",us,4,,POR
Matisse Thybulle,SG,6-5,201,"March 4, 1997",us,3,Washington,POR
Jabari Walker,SF,6-9,215,"July 30, 2002",us,R,Colorado,POR
Trendon Watford,PF,6-9,240,"November 9, 2000",us,1,LSU,POR
Jeenathan Williams,SG,6-5,205,"February 12, 1999",us,R,Buffalo,POR
Justise Winslow,PF,6-6,222,"March 26, 1996",us,7,Duke,POR
Harrison Barnes,PF,6-8,225,"May 30, 1992",us,10,UNC,SAC
Deonte Burton,PF,6-4,240,"January 31, 1994",us,2,"Marquette, Iowa State",SAC
Terence Davis,SG,6-4,201,"May 16, 1997",us,3,Ole Miss,SAC
Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au,8,Saint Mary's,SAC
PJ Dozier,SF,6-6,205,"October 25, 1996",us,5,South Carolina,SAC
Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine,SAC
Keon Ellis,SG,6-6,175,"January 8, 2000",us,R,"Florida SouthWestern State College, Alabama",SAC
De'Aaron Fox,PG,6-3,185,"December 20, 1997",us,5,Kentucky,SAC
Richaun Holmes,C,6-10,235,"October 15, 1993",us,7,Bowling Green,SAC
Kevin Huerter,SG,6-7,190,"August 27, 1998",us,4,Maryland,SAC
Alex Len,C,7-0,250,"June 16, 1993",ua,9,Maryland,SAC
Trey Lyles,PF,6-9,234,"November 5, 1995",ca,7,Kentucky,SAC
Chimezie Metu,PF,6-9,225,"March 22, 1997",us,4,USC,SAC
Davion Mitchell,PG,6-2,205,"September 5, 1998",us,1,"Auburn, Baylor",SAC
Chima Moneke,SF,6-6,222,"December 24, 1995",ng,R,"Northeast Community College, UC-Davis",SAC
Malik Monk,SG,6-3,200,"February 4, 1998",us,5,Kentucky,SAC
Keegan Murray,SF,6-8,215,"August 19, 2000",us,R,Iowa,SAC
KZ Okpala,PF,6-8,215,"April 28, 1999",us,3,Stanford,SAC
Neemias Queta,C,7-0,245,"July 13, 1999",pt,1,Utah State University,SAC
Domantas Sabonis,C,6-10,240,"May 3, 1996",us,6,Gonzaga,SAC
Dominick Barlow,PF,6-9,221,"May 26, 2003",us,R,,SAS
Charles Bassey,C,6-10,235,"October 28, 2000",ng,1,Western Kentucky,SAS
Keita Bates-Diop,PF,6-8,229,"January 23, 1996",us,4,Ohio State,SAS
Malaki Branham,SG,6-4,180,"May 12, 2003",us,R,Ohio State,SAS
Julian Champagnie,SF,6-8,220,"June 29, 2001",us,R,St. John's,SAS
Zach Collins,C,6-11,250,"November 19, 1997",us,4,Gonzaga,SAS
Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,9,Louisville,SAS
Devonte' Graham,PG,6-1,195,"February 22, 1995",us,4,Kansas,SAS
Jordan Hall,SF,6-7,215,"January 14, 2002",us,R,Saint Joseph's,SAS
Alize Johnson,PF,6-7,212,"April 22, 1996",us,4,Missouri State,SAS
Keldon Johnson,SF,6-5,220,"October 11, 1999",us,3,Kentucky,SAS
Stanley Johnson,SF,6-6,242,"May 29, 1996",us,7,Arizona,SAS
Tre Jones,PG,6-1,185,"January 8, 2000",us,2,Duke,SAS
Romeo Langford,SG,6-5,216,"October 25, 1999",us,3,Indiana,SAS
Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us,1,Seton Hall,SAS
Doug McDermott,SF,6-6,225,"January 3, 1992",us,8,Creighton,SAS
Jakob Poeltl,C,7-0,245,"October 15, 1995",at,6,Utah,SAS
Joshua Primo,SG,6-6,190,"December 24, 2002",ca,1,Alabama,SAS
Josh Richardson,SG,6-5,200,"September 15, 1993",us,7,Tennessee,SAS
Isaiah Roby,PF,6-8,230,"February 3, 1998",us,3,Nebraska,SAS
Jeremy Sochan,PF,6-8,230,"May 20, 2003",us,R,Baylor,SAS
Devin Vassell,SG,6-5,200,"August 23, 2000",us,2,Florida State,SAS
Blake Wesley,SG,6-5,185,"March 16, 2003",us,R,Notre Dame,SAS
Precious Achiuwa,C,6-8,225,"September 19, 1999",ng,2,Memphis,TOR
OG Anunoby,SF,6-7,232,"July 17, 1997",gb,5,Indiana,TOR
Dalano Banton,PG,6-9,204,"November 7, 1999",ca,1,Nebraska,TOR
Scottie Barnes,SF,6-7,227,"August 1, 2001",us,1,Florida State,TOR
Will Barton,SG,6-5,181,"January 6, 1991",us,10,Memphis,TOR
Khem Birch,C,6-9,233,"September 28, 1992",ca,5,"Pitt, UNLV",TOR
Chris Boucher,PF,6-9,200,"January 11, 1993",lc,5,Oregon,TOR
Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt,TOR
Jeff Dowtin,PG,6-3,185,"May 10, 1997",us,1,Rhode Island,TOR
Malachi Flynn,PG,6-1,175,"May 10, 1998",us,2,"Washington State, San Diego State",TOR
Ron Harper Jr.,PF,6-6,245,"April 12, 2000",us,R,Rutgers University,TOR
Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es,6,,TOR
Christian Koloko,C,7-1,230,"June 20, 2000",cm,R,Arizona,TOR
Jakob Poeltl,C,7-0,245,"October 15, 1995",at,6,Utah,TOR
Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us,9,Georgetown,TOR
Pascal Siakam,PF,6-8,230,"April 2, 1994",cm,6,New Mexico State,TOR
Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,4,Duke,TOR
Fred VanVleet,PG,6-0,197,"February 25, 1994",us,6,Wichita State,TOR
Joe Wieskamp,SF,6-6,212,"August 23, 1999",us,1,Iowa,TOR
Thaddeus Young,PF,6-8,235,"June 21, 1988",us,15,Georgia Tech,TOR
Ochai Agbaji,SG,6-5,215,"April 20, 2000",us,R,Kansas,UTA
Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca,3,Virginia Tech,UTA
Udoka Azubuike,C,6-10,280,"September 17, 1999",ng,2,Kansas,UTA
Malik Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State,UTA
Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar,1,,UTA
Jarrell Brantley,PF,6-5,250,"June 7, 1996",us,2,College of Charleston,UTA
Jordan Clarkson,SG,6-3,194,"June 7, 1992",us,8,"Tulsa, Missouri",UTA
Mike Conley,PG,6-0,175,"October 11, 1987",us,15,Ohio State,UTA
Kris Dunn,PG,6-3,205,"March 18, 1994",us,6,Providence,UTA
Simone Fontecchio,SF,6-8,209,"December 9, 1995",it,R,,UTA
Rudy Gay,PF,6-8,250,"August 17, 1986",us,16,UConn,UTA
Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us,3,Iowa State,UTA
Frank Jackson,PG,6-3,205,"May 4, 1998",us,4,Duke,UTA
Damian Jones,C,6-11,245,"June 30, 1995",us,6,Vanderbilt,UTA
Johnny Juzang,SG,6-7,215,"March 17, 2001",us,R,"Kentucky, UCLA",UTA
Walker Kessler,C,7-0,245,"July 26, 2001",us,R,"UNC, Auburn",UTA
Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi,5,Arizona,UTA
Kelly Olynyk,C,6-11,240,"April 19, 1991",ca,9,Gonzaga,UTA
Micah Potter,PF,6-10,248,"April 6, 1998",us,1,"Ohio State, Wisconsin",UTA
Luka Šamanić,PF,6-10,227,"January 9, 2000",hr,2,,UTA
Collin Sexton,PG,6-3,190,"January 4, 1999",us,4,Alabama,UTA
Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us,3,Marquette,UTA
Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us,4,Kentucky,UTA
Deni Avdija,SF,6-9,210,"January 3, 2001",il,2,,WAS
Will Barton,SG,6-5,181,"January 6, 1991",us,10,Memphis,WAS
Bradley Beal,SG,6-4,207,"June 28, 1993",us,10,Florida,WAS
Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us,R,San Francisco,WAS
Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us,2,Duke,WAS
Xavier Cooks,PF,6-8,183,"August 19, 1995",au,R,Winthrop University,WAS
Johnny Davis,SG,6-5,196,"February 27, 2002",us,R,Wisconsin,WAS
Devon Dotson,PG,6-2,185,"August 2, 1999",us,2,Kansas,WAS
Daniel Gafford,C,6-10,234,"October 1, 1998",us,3,Arkansas,WAS
Taj Gibson,C,6-9,232,"June 24, 1985",us,13,USC,WAS
Anthony Gill,PF,6-7,230,"October 17, 1992",us,2,"South Carolina, Virginia",WAS
Jordan Goodwin,PG,6-3,200,"October 23, 1998",us,1,Saint Louis,WAS
Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga,WAS
Jay Huff,C,7-1,240,"August 25, 1998",us,1,Virginia,WAS
Quenton Jackson,PG,6-5,175,"September 15, 1998",us,R,Texas A&M,WAS
Corey Kispert,SF,6-7,220,"March 3, 1999",us,1,Gonzaga,WAS
Kyle Kuzma,PF,6-9,221,"July 24, 1995",us,5,Utah,WAS
Monte Morris,PG,6-2,183,"June 27, 1995",us,5,Iowa State,WAS
Kendrick Nunn,SG,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland",WAS
Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv,6,,WAS
Jordan Schakel,SF,6-6,200,"June 13, 1998",us,1,San Diego State,WAS
Isaiah Todd,PF,6-10,220,"October 17, 2001",us,1,,WAS
Delon Wright,PG,6-5,185,"April 26, 1992",us,7,Utah,WAS
